Name,OtherName,RAJ2000,DEJ2000,RA1,DE1
"SMP078","N153",83.588625,-68.97358333333332,83.66837499999998,-69.0045
"SMP079","N210",83.53637499999999,-74.33513888888888,83.883625,-74.36566666666666
"SMP080"," ",83.66229166666666,-70.33208333333333,83.79658333333332,-70.3625
"SMP081","N211",83.83729166666666,-73.92488888888887,84.15849999999999,-73.95402777777777
"SMP082","LM2-38",83.99008333333332,-69.97127777777777,84.10966666666666,-70.00016666666666
"SMP083","N066",84.08670833333332,-67.30208333333333,84.10866666666665,-67.3307222222222
"SMP084","N212",84.22091666666665,-71.89388888888888,84.42833333333333,-71.92144444444443
"SMP085","N069",85.12879166666666,-66.2936111111111,85.12029166666666,-66.31727777777778
"SMP086","LM2-41",85.34187499999999,-68.12894444444443,85.39295833333333,-68.15147222222221
"SMP087","N215",85.28349999999999,-72.70216666666666,85.53466666666665,-72.72447222222222
"SMP088","LM2-42",85.63879166666665,-70.49,85.78220833333332,-70.51083333333332
"SMP089","N178",85.65416666666665,-70.15863888888887,85.78341666666665,-70.17944444444443
"SMP090","LM2-43",86.14483333333332,-70.3611111111111,86.28312499999998,-70.37952777777777
"SMP091","LM1-57",86.274875,-68.11413888888887,86.32616666666665,-68.13213888888887
"SMP092","N170",86.7695,-69.45925,86.87108333333332,-69.47472222222221
"SMP093","N181",87.41145833333331,-69.16647222222221,87.50199999999998,-69.1788611111111
"SMP094","LM2-44",88.54470833333332,-73.0465,88.81737499999998,-73.05294444444444
"SMP095"," ",90.43891666666666,-67.9351111111111,90.48508333333332,-67.93288888888888
"SMP096"," ",91.52270833333333,-71.07055555555554,91.69341666666665,-71.06275
"SMP097","WS40",92.60612499999999,-67.939,92.65154166666666,-67.92625
"SMP098","WS41",94.39833333333333,-73.20947222222222,94.67691666666666,-73.18747222222221
"SMP099","N221",94.741875,-71.59724999999999,94.93449999999999,-71.57377777777776
"SMP100","LM1-65",95.73124999999999,-72.12791666666665,95.94887499999999,-72.0996111111111
"SMP101"," ",95.91804166666665,-69.17716666666665,96.00495833333332,-69.14827777777776
"SMP102"," ",97.38741666666665,-68.05905555555555,97.43154166666665,-68.02316666666665
"Sa104","LM1-01",66.15645833333332,-69.70575,66.20666666666666,-69.81822222222222
"Sa105"," ",75.63708333333332,-69.43755555555555,75.71691666666666,-69.50644444444444
"Sa106"," ",75.77395833333333,-68.56027777777777,75.82183333333332,-68.6286111111111
"Sa107","LM2-06",76.68212499999998,-69.2605,76.75833333333333,-69.32449999999999
"Sa109","J05",77.95049999999999,-69.39530555555555,78.03533333333333,-69.45325
"Sa110"," ",78.06966666666665,-68.48613888888887,78.12116666666665,-68.54358333333333
"Sa117"," ",81.23641666666666,-69.25866666666666,81.32329166666665,-69.30091666666665
"Sa120"," ",82.38624999999999,-70.29416666666665,82.51699999999998,-70.33075
"Sa121"," ",82.60945833333332,-71.22999999999999,82.78229166666665,-71.26541666666665
"Sa122"," ",83.60133333333332,-69.57444444444444,83.70437499999998,-69.60524999999998
"Sa123"," ",83.62570833333332,-70.47625,83.76620833333332,-70.50683333333332
"Sa124"," ",85.18579166666666,-67.30213888888888,85.20883333333332,-67.32547222222222
"Sa126"," ",88.31087499999998,-70.41722222222221,88.45275,-70.42511111111111
"Sa104a"," ",66.38291666666666,-66.78833333333333,66.33874999999999,-66.89999999999999
